Date,Rate,High (est),Low (est)
1994-10-18,0.183989,0.0,0.0
1994-10-19,0.183989,0.0,0.0
1994-10-20,0.183989,0.0,0.0
1994-10-21,0.183989,0.0,0.0
1994-10-24,0.183989,0.0,0.0
1994-10-25,0.183989,0.0,0.0
1994-10-26,0.183989,0.0,0.0
1994-10-27,0.183989,0.0,0.0
1994-10-28,0.183989,0.0,0.0
1994-10-31,0.183989,0.0,0.0
1994-11-01,0.183989,0.0,0.0
1994-11-02,0.183989,0.0,0.0
1994-11-03,0.183989,0.0,0.0
1994-11-04,0.183989,0.0,0.0
1994-11-07,0.183989,0.0,0.0
1994-11-08,0.183989,0.0,0.0
1994-11-09,0.18475999999999998,0.18687,0.18267
1994-11-10,0.18475999999999998,0.0,0.0
1994-11-11,0.18475999999999998,0.0,0.0
1994-11-14,0.18475999999999998,0.0,0.0
1994-11-15,0.18475999999999998,0.0,0.0
1994-11-16,0.18475999999999998,0.0,0.0
1994-11-17,0.18475999999999998,0.0,0.0
1994-11-18,0.18475999999999998,0.0,0.0
1994-11-21,0.18475999999999998,0.0,0.0
1994-11-22,0.18475999999999998,0.0,0.0
1994-11-23,0.18475999999999998,0.0,0.0
1994-11-24,0.18475999999999998,0.0,0.0
1994-11-25,0.18475999999999998,0.0,0.0
1994-11-28,0.18475999999999998,0.0,0.0
1994-11-29,0.18475999999999998,0.0,0.0
1994-11-30,0.18475999999999998,0.0,0.0
1994-12-01,0.18475999999999998,0.0,0.0
1994-12-02,0.18475999999999998,0.0,0.0
1994-12-05,0.18475999999999998,0.0,0.0
1994-12-06,0.18475999999999998,0.0,0.0
1994-12-07,0.18475999999999998,0.0,0.0
1994-12-08,0.18475999999999998,0.0,0.0
1994-12-09,0.18475999999999998,0.0,0.0
1994-12-12,0.18475999999999998,0.0,0.0
1994-12-13,0.18475999999999998,0.0,0.0
1994-12-14,0.18475999999999998,0.0,0.0
1994-12-15,0.18475999999999998,0.0,0.0
1994-12-16,0.18475999999999998,0.0,0.0
1994-12-19,0.18475999999999998,0.0,0.0
1994-12-20,0.18475999999999998,0.0,0.0
1994-12-21,0.18475999999999998,0.0,0.0
1994-12-22,0.18475999999999998,0.0,0.0
1994-12-23,0.18475999999999998,0.0,0.0
1994-12-26,0.18475999999999998,0.0,0.0
1994-12-27,0.18475999999999998,0.0,0.0
1994-12-28,0.18475999999999998,0.0,0.0
1994-12-29,0.18475999999999998,0.0,0.0
1994-12-30,0.18475999999999998,0.0,0.0
1995-01-02,0.18475999999999998,0.0,0.0
